province;red;green;blue;x;x
1;106;168;106;Dibba Abunaj;x
2;165;168;164;Hileh;x
3;98;104;97;Rillwatter;x
4;142;88;136;;x
5;175;168;168;#2;x
6;67;56;68;Wayvbrayk;x
7;180;88;188;Perrion;x
8;110;24;100;Poesia;x
9;88;168;82;#2;x
10;255;224;240;Yapirhg;x
11;183;128;167;Ultmahuk;x
12;144;168;129;#2;x
13;139;168;159;Ghalat;x
14;8;112;29;Yidhallow;x
15;255;232;232;#2;x
16;195;144;219;Wupurm;x
17;127;96;101;Zitmound;x
18;130;120;165;#2;x
19;159;160;183;Duano;x
20;38;16;13;Khomustaan;x
21;255;160;210;Abaine;x
22;209;248;255;Nordhmark;x
23;157;168;173;Sextuk;x
24;44;104;29;Piddel;x
25;96;168;85;Badaidat;x
26;102;16;90;#2;x
27;173;112;144;Septemtuk;x
28;130;184;188;Narrow Sea;x
29;140;152;204;Munnan;x
30;184;160;255;Jalek;x
31;162;8;234;Bayonne;x
32;219;168;146;Muhiyah;x
33;201;104;128;Dyllej;x
34;219;208;146;Haja;x
35;128;128;204;#2;x
36;178;168;255;Skuckelia;x
37;209;200;156;Gerla;x
38;239;112;188;Zades;x
39;155;88;206;Kait Wood;x
40;255;40;169;Nordhgardher;x
41;206;72;152;#2;x
42;102;48;49;#2;x
43;140;216;219;#2;x
44;66;8;21;Pyatiromorsk;x
45;76;24;27;Gwo;x
46;203;0;147;Linkonia;x
47;148;192;204;#2;x
48;255;248;163;Supremetuk;x
49;135;208;219;Karzu;x
50;58;168;100;#2;x
51;239;112;142;Shuran;x
52;47;64;76;Algiy;x
53;255;200;155;Strawl;x
54;68;48;43;Alojin;x
55;76;0;35;Pabnot;x
56;209;176;165;Leng;x
57;12;160;121;#2;x
58;204;184;183;#2;x
59;219;200;166;Tobeje;x
60;124;192;255;Lorvlake;x
61;32;8;168;#2;x
62;204;40;68;#2;x
63;103;168;247;#2;x
64;209;168;64;Ponditchery;x
65;206;128;92;Taragay;x
66;59;112;174;Amonika;x
67;62;64;168;Muqat;x
68;204;48;85;#2;x
69;45;128;183;Porder Sea;x
70;175;136;51;#2;x
71;201;56;85;Covane;x
72;99;200;255;The Eye;x
73;219;72;70;#2;x
74;145;40;51;Prumid;x
75;131;200;32;Webes;x
76;145;0;50;Emino;x
77;90;0;255;Yeds;x
78;211;40;117;Yirhkaru;x
79;254;120;86;Essa;x
80;183;40;27;Wudah;x
81;220;224;112;Hobrea;x
82;204;120;97;#2;x
83;76;40;255;Neuderbach;x
84;110;184;216;#2;x
85;255;152;68;Skugrlandet;x
86;106;152;168;Faihem;x
87;219;40;24;#2;x
88;74;168;140;#2;x
89;183;168;113;Tehed;x
90;255;112;56;Mazatepec;x
91;219;56;19;Aar;x
92;95;104;145;Purd;x
93;145;112;94;Budipil;x
94;255;120;48;Kolojm;x
95;219;8;8;#2;x
96;142;24;91;#2;x
97;95;168;138;#2;x
98;255;96;38;Skaine;x
99;142;136;84;Karanon;x
100;127;160;165;The Ocean of Tecumfair;x
101;188;160;96;Bathian;x
102;100;112;132;Jinja;x
103;168;72;75;Khamam;x
104;142;112;107;#2;x
105;165;96;66;Aru;x
106;95;0;183;#2;x
107;76;72;165;#2;x
108;196;96;47;Octotuk;x
109;48;128;219;Sea of Flus;x
110;168;104;70;#2;x
111;210;248;34;Stake;x
112;69;160;183;Thumpa Sea;x
113;158;168;106;#2;x
114;138;136;124;#2;x
115;145;120;103;#2;x
116;183;88;64;Utim;x
117;168;128;95;Zundirah;x
118;84;32;173;Yippany;x
119;219;160;32;#2;x
120;45;216;208;#2;x
121;255;80;0;#2;x
122;127;105;125;Hevland;x
123;253;193;255;Retwaj;x
124;185;185;189;#2;x
125;139;145;142;#2;x
126;204;153;202;#2;x
127;230;201;239;Malis;x
128;210;129;219;Abbal;x
129;96;201;105;Lejm;x
130;21;73;24;Fouland;x
131;43;145;37;Kurn;x
132;241;201;255;Fenlaw;x
133;166;33;168;As Hamrarat;x
134;227;145;255;Boulveuse;x
135;226;193;255;Irgen;x
136;94;201;126;Urlay;x
137;175;121;142;#2;x
138;224;121;193;Godha;x
139;139;161;175;#2;x
140;87;145;114;Siarti;x
141;128;89;165;Rur;x
142;99;97;81;Yomoak;x
143;80;57;102;#2;x
144;196;209;255;Namiya;x
145;138;209;177;Roslayugansk;x
146;188;105;131;Trickle;x
147;255;137;190;Sallowill;x
148;60;201;121;Hunon;x
149;255;81;185;Laket;x
150;141;177;198;#2;x
151;198;97;141;#2;x
152;255;33;173;Latrina;x
153;219;201;142;Paswain;x
154;163;145;255;#2;x
155;147;105;206;Khamo;x
156;116;145;43;Derah;x
157;198;105;164;#2;x
158;239;105;136;Rica;x
159;15;41;102;#2;x
160;102;65;11;#2;x
161;1;1;1;PLACEHOLDER161;x
162;198;65;178;#2;x
163;186;105;206;#2;x
164;78;145;59;Yarlah;x
165;55;145;65;Loen;x
166;68;65;50;Ber;x
167;137;161;255;Merkes;x
168;255;233;135;Isrland;x
169;108;225;22;Soillac;x
170;181;193;206;Stoyan;x
171;205;9;77;Agracosta;x
172;206;89;76;Boltorkhoy;x
173;51;113;183;Bone Strait;x
174;255;129;122;Oursin;x
175;204;121;73;Ruloa;x
176;255;137;119;Hhoe;x
177;119;241;255;Mouth of God;x
178;255;185;119;Yellekev;x
179;79;137;198;#2;x
180;255;209;112;Rosenberg;x
181;201;129;70;Kemyepol;x
182;109;145;255;Freiheim;x
183;204;97;89;Splenul;x
184;67;113;219;Eggbay;x
185;209;113;73;Ulatroitsk;x
186;65;209;216;Bay of Pigs;x
187;204;129;85;Yillsmuth;x
188;53;49;175;Melbina;x
189;165;145;62;#2;x
190;255;153;99;JRiggon;x
191;91;161;198;#2;x
192;198;81;89;#2;x
193;125;97;226;Owek;x
194;28;137;188;Sea of Brown;x
195;94;161;255;Sperspetz Coast;x
196;74;49;225;#2;x
197;98;97;206;Mev;x
198;107;185;198;#2;x
199;255;145;81;Agdal;x
